mlcoalsim version 1.9916b (20190520)

"OUTPUT FILE: date Fri Sep 20 07:38:00 2019" 

"Input data from the file: baselines/case04/1locus_1pop_mhit0_obs.txt"

Print_neuttest:                  1
Print_matrixpol:                 1
N_iterations:                    700
Seed1:                           81140

N_loci:                          1
No_rec_males:                    0
Factorn_chr:                     1.000000
Pevent_sexratio:                
Fixmax_abstime_event:           
Sex_ratio:                       1.000000
N_sites:                         10000
N_samples:                       20
Npop:                            1


Thetaw:                          0.01

Recombination:                   0
Iflogistic:                      0
Nintn:                           0
Nrec:                           
Tpast:                          



Patcg:                           -1

Td_obs:                          1.75
R2_obs:                          0.11

Td_active:                       1
R2_active:                       1


Neutral tests (excluding multiple hits positions)
value(TD[pop=0])	value(Fs[pop=0])	value(FDn[pop=0])	value(FFn[pop=0])	value(FD[pop=0])	value(FF[pop=0])	value(H[pop=0])	value(B[pop=0])	value(Q[pop=0])	value(ZnA[pop=0])	value(Fst[pop=0])	value(Kw[pop=0])	value(Hw[pop=0])	value(R2[pop=0])	value(S[pop=0])	value(piw[pop=0])	value(pib[pop=0])	value(ThetaW[pop=0])	value(ThetaT[pop=0])	value(ThetaFW[pop=0])	value(D_Dmin[pop=0])	value(H_norm[pop=0])	value(maxhap[pop=0])	value(maxhap1[pop=0])	value(Rm[pop=0])	value(ThetaFL[pop=0])	value(ThetaL[pop=0])	value(ZengE[pop=0])	value(EW[pop=0])	value(Fstw[pop=0])	value(minuiHS[pop=0])	value(maxuiHS[pop=0])	value(maxliES[pop=0])	value(fixoutg[pop=0])	value(KoutgJC[pop=0])	value(ThetaWA[pop=0])	value(ThetaWAn[pop=0])	value(ThetaTA[pop=0])	value(ThetaTAn[pop=0])	value(AchY[pop=0])	value(AchYn[pop=0])	value(m_sdev[pop=0])	value(m_skew[pop=0])	value(m_kurt[pop=0])	value(ragg[pop=0])	value(ZnS[pop=0])	value(ZZ[pop=0])	
-0.567752	0.210466	-0.845628	-0.814598	-1.21116	-1.06856	26.4632	0.0561798	0.0837989	0.130685	na	17	0.978947	0.105904	179	43.5474	0	50.4547	43.5474	17.0842	-0.212175	0.967252	0.15	na	0	78	30.3158	-1.59122	0.07	na	na	na	na	na	na	39.643	40.4792	39.7193	39.9529	0.00975473	-0.0703532	18.7821	-1.12814	-0.0738062	0.0350693	0.130546	0.000138876	
-1.2212	-0.0317018	0.223664	-0.229625	0.172715	-0.339721	18.8526	0.0703518	0.1	0.131228	na	17	0.984211	0.0880538	200	39.7947	0	56.3739	39.7947	20.9421	-0.455799	0.617935	0.1	na	0	52	30.3684	-1.84598	0.065	na	na	na	na	na	na	58.0907	59.3161	38.4386	38.6647	-1.72046	-1.89119	17.9887	-0.0433463	-0.825778	0.0102216	0.120573	0.0106558	
-0.553028	-0.701464	0.433847	0.143463	0.446308	0.104087	35.2737	0.0833333	0.112957	0.158581	na	19	0.994737	0.111416	301	73.5842	0	84.8428	73.5842	38.3105	-0.205663	0.772563	0.1	na	0	68	55.9474	-1.37792	0.055	na	na	na	na	na	na	91.4536	93.3827	74.2047	74.6412	-0.961929	-1.09345	34.4491	-0.537362	-1.06146	0.00739612	0.135203	0.023378	
-0.0104247	0.738103	-0.385253	-0.290434	-0.619516	-0.439791	42.6211	0.0996564	0.140411	0.198466	na	18	0.989474	0.127046	292	82.1	0	82.3059	82.1	39.4789	-0.00387766	0.961924	0.1	na	0	105	60.7895	-1.05696	0.06	na	na	na	na	na	na	73.3984	74.9467	79.5556	80.0235	0.42731	0.368591	43.8357	-0.89615	-0.797505	0.0116898	0.184766	0.0136999	
0.287235	4.61138	0.457812	0.434469	0.478188	0.445234	40.4421	0.101485	0.116049	0.22603	na	16	0.978947	0.141837	405	122.011	0	114.157	122.011	81.5684	0.10662	0.660213	0.1	na	0	90	101.789	-0.440824	0.07	na	na	na	na	na	na	123.639	126.247	125.567	126.306	0.0796439	0.00254301	78.8172	-0.298819	-1.74323	0.0261496	0.229047	-0.00301704	
-1.79215	-2.96885	-2.82184	-2.68503	-1.68826	-1.86772	-136.589	0.318182	0.322946	0.338945	na	20	1	0.1257	353	56.7579	0	99.5	56.7579	193.347	-0.665765	-2.55512	0.05	na	0	174	125.053	1.04241	0.05	na	na	na	na	na	na	70.2584	34.4674	43.731	33.5941	-1.92276	-0.136829	58.0598	2.19207	3.7582	0.0192798	0.335492	0.00345341	
-0.0808379	-2.03419	-0.904696	-0.700816	-1.28487	-0.937617	14.7789	0.134615	0.165605	0.206369	na	19	0.994737	0.117877	157	43.3895	0	44.2535	43.3895	28.6105	-0.0302609	0.61428	0.1	na	0	70	36	-0.739801	0.055	na	na	na	na	na	na	34.1479	34.8682	40.4327	40.6706	0.930911	0.898781	27.4532	-0.181488	-1.81368	0.0216343	0.181224	0.0251457	
1.29553	2.46204	0.769369	0.994681	0.885153	1.11479	6.57895	0.301075	0.306867	0.390364	na	18	0.989474	0.176417	466	172.079	0	131.351	172.079	165.5	0.480556	0.0934445	0.1	na	0	80	168.789	1.16226	0.06	na	na	na	na	na	na	151.507	154.703	182.31	183.382	1.03897	1.01213	135.771	0.0795648	-1.84195	0.00880886	0.417959	-0.0275953	
0.542415	-0.089703	0.608707	0.629857	0.673992	0.67992	-15.1368	0.357143	0.372168	0.411299	na	19	0.994737	0.149665	309	98.4316	0	87.0977	98.4316	113.568	0.201678	-0.323037	0.1	na	0	61	106	0.878551	0.055	na	na	na	na	na	na	97.3412	99.3945	102.591	103.194	0.275125	0.208341	86.2238	0.378133	-1.80275	0.0212465	0.388128	0.0231707	
-0.645192	-3.30546	-0.653	-0.69617	-0.964316	-0.923465	24.1684	0.0566038	0.0938967	0.118224	na	20	1	0.101396	213	50.7158	0	60.0382	50.7158	26.5474	-0.240652	0.744583	0.05	na	0	86	38.6316	-1.42962	0.05	na	na	na	na	na	na	49.8481	50.8996	46.7953	47.0706	-0.31105	-0.408078	21.3009	-0.725966	-0.329326	0.01241	0.12003	-0.00180563	
