mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
10	0.000158	0.077591	0.601455	8.626693	0.130556	0.003297	0.003297	0.003297	0.003297	0.003297	0.000960	0.000960	0.000960	0.000960	0.000960	0.052734	-1.17901	-1.58986	-0.934186	-1.02625	-1.12276	-1.18624	0.545455	0	0	0.0132231	na	4	0.560606	0.1341	3	0.636364	0	0.993418	0.636364	0.0909091	-0.723635	0.624568	0.666667	na	0	2	0.363636	-1.27958	0.486111	na	na	na	na	9	9.39243	0.49508	0.518412	0.363636	0.37037	-1.04116	-1.30568	0.623547	0.441314	-0.696047	0.237144	0.014876	-0.00165289	0	2	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	2	0	na	0	na	na	na	na	12	12.0979	na	na	na	na	na	na	na	na	na	0	na	0	0	
11	0.532587	0.051422	52.633736	5.441829	0.535517	0.033822	0.033822	0.033822	0.033822	0.033822	0.023484	0.023484	0.023484	0.023484	0.023484	0.018526	0.874946	6.57409	1.04841	1.03975	1.25328	1.19415	24.8485	0.219081	0.285211	0.370264	na	9	0.954545	0.187379	284	111.515	0	94.0436	111.515	86.6667	0.374042	0.528719	0.166667	na	19	39	99.0909	0.248335	0.125	na	na	na	na	109	232.753	121.294	127.011	126.018	128.352	0.24028	0.0766189	39.8606	-1.49975	1.73575	0.0677227	0.194856	0.175408	76	39	51	83	16	29	15	28	6	13	4	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	39	0	na	0	na	na	na	na	393	559.21	na	na	na	na	na	na	na	na	na	0	na	0	0	
12	0.855981	0.085696	0.102447	7.229789	4.370818	0.062497	0.062497	0.062497	0.062497	0.062497	0.064559	0.064559	0.064559	0.064559	0.064559	0.027515	-1.09601	1.29079	-1.04434	-1.09644	-0.342883	-0.601702	-21.303	0.25	0.346939	0.314563	na	8	0.893939	0.10412	49	12.3485	0	16.2258	12.3485	33.6515	-0.48111	-2.4967	0.333333	na	3	19	23	1.75046	0.180556	na	na	na	na	575	1203.67	14.8524	10.3682	11.0182	9.18519	-1.55935	-0.800501	9.4649	0.450614	-1.11523	0.100781	0.233416	0.0811469	25	19	4	4	0	2	0	0	2	2	6	10	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	19	0	na	0	na	na	na	na	624	1360.01	na	na	na	na	na	na	na	na	na	0	na	0	0	
13	0.000345	0.098903	54.921209	10.723036	0.105722	0.022739	0.022739	0.022739	0.022739	0.022739	0.011623	0.011623	0.011623	0.011623	0.011623	0.031093	-0.71772	-2.45644	-0.833171	-0.829537	-1.07226	-1.02405	0.848485	0	0	0.0571429	na	6	0.848485	0.120185	5	1.33333	0	1.6557	1.33333	0.484848	-0.391996	0.683972	0.333333	na	0	3	0.909091	-1.10975	0.222222	na	na	na	na	223	266.326	0.990159	1.03682	1	1.01852	0.0465583	-0.0966737	0.810191	0.0265177	-0.577146	0.210285	0.0479339	0.00920897	1	3	1	0	0	1	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	228	272.312	na	na	na	na	na	na	na	na	na	0	na	0	0	
14	0.555121	0.043706	0.366022	10.669512	7.390846	0.006751	0.006751	0.006751	0.006751	0.006751	0.009391	0.009391	0.009391	0.009391	0.009391	0.044512	-1.16662	-3.01941	-1.10623	-1.16024	-1.50297	-1.4783	0.333333	0	0	0.0833058	na	8	0.893939	0.10904	11	2.62121	0	3.64253	2.62121	2.28788	-0.564515	0.146847	0.333333	na	1	7	2.45455	-1.03462	0.180556	na	na	na	na	205	242.967	1.98032	2.07365	1.74545	1.77778	-0.626471	-0.882991	1.86271	0.56183	-0.774664	0.108127	0.160968	-0.0776619	1	7	2	0	0	0	1	0	0	0	1	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	7	0	na	0	na	na	na	na	216	255.201	na	na	na	na	na	na	na	na	na	0	na	0	0	
15	0.075387	0.020191	326.131678	10.286159	0.738383	0.004141	0.004141	0.004141	0.004141	0.004141	0.003746	0.003746	0.003746	0.003746	0.003746	0.068892	0.653464	4.04462	0.971535	0.92036	1.13979	1.04024	21.7879	0.20438	0.289855	0.309012	na	9	0.954545	0.178226	138	52.0758	0	45.6972	52.0758	30.2879	0.281027	0.942978	0.166667	na	14	21	41.1818	-0.446598	0.125	na	na	na	na	31	72.1404	57.9243	60.6542	58.2909	59.3704	0.0389203	-0.153085	19.7627	-1.14978	0.43723	0.0860882	0.200402	0.108609	9	21	29	48	13	3	16	2	3	1	2	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	21	0	na	0	na	na	na	na	169	191.734	na	na	na	na	na	na	na	na	na	0	na	0	0	
16	0.000730	0.062792	4.883581	5.054344	4.003893	0.001997	0.001997	0.001997	0.001997	0.001997	0.000206	0.000206	0.000206	0.000206	0.000206	0.021635	na	na	na	na	na	na	0	na	na	na	na	1	0	na	0	0	0	0	0	0	na	na	1	na	0	0	0	na	1	na	na	na	na	3	3.00607	0	0	0	0	na	na	0	na	na	0.0860882	na	0	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	3	3.00607	na	na	na	na	na	na	na	na	na	0	na	0	0	
17	0.926794	0.052031	1.245937	8.951147	4.014538	0.041919	0.041919	0.041919	0.041919	0.041919	0.020274	0.020274	0.020274	0.020274	0.020274	0.066560	0.248729	-2.84744	0.402592	0.375325	0.689712	0.58395	-2.87879	0.0740741	0.145455	0.255694	na	12	1	0.152357	55	19.197	0	18.2127	19.197	22.0758	0.108812	-0.302523	0.0833333	na	13	12	20.6364	0.564665	0.0833333	na	na	na	na	247	329.124	21.2884	20.7365	20.6364	20.4074	-0.186353	-0.113369	5.52538	-0.249624	-0.569499	0.0312213	0.123011	0.132683	15	12	10	9	6	4	1	1	4	4	1	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	12	0	na	0	na	na	na	na	302	387.546	na	na	na	na	na	na	na	na	na	0	na	0	0	
18	0.015378	0.003393	155.596266	9.486873	0.349784	0.012681	0.012681	0.012681	0.012681	0.012681	0.003022	0.003022	0.003022	0.003022	0.003022	0.072695	-1.14053	-0.475656	-1.32974	-1.3184	-1.42122	-1.40617	0.151515	na	na	na	na	2	0.166667	0.276385	1	0.166667	0	0.331139	0.166667	0.0151515	-1	0.338215	0.916667	na	0	1	0.0909091	-0.90177	0.847222	na	na	na	na	52	53.9982	0	0	0	0	na	na	0.375534	1.83073	1.25744	0.694444	na	0	0	1	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	53	54.9846	na	na	na	na	na	na	na	na	na	0	na	0	0	
19	0.005547	0.043319	665.129257	2.157937	0.319076	0.052771	0.052771	0.052771	0.052771	0.052771	0.013968	0.013968	0.013968	0.013968	0.013968	0.067559	-0.905398	-3.48261	-0.503569	-0.626145	-0.711903	-0.799828	1.21212	0	0	0.140275	na	7	0.833333	0.111197	6	1.51515	0	1.98684	1.51515	0.30303	-0.477976	0.855534	0.416667	na	0	3	0.909091	-1.42441	0.236111	na	na	na	na	62	65.6491	1.48524	1.55524	1.21818	1.24074	-0.909531	-1.19732	1.02646	0.310076	-0.478347	0.085629	0.0911882	0.0490872	0	3	2	1	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	68	71.3144	na	na	na	na	na	na	na	na	na	0	na	0	0	
