mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	fr[pop=0,12]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
10	0.000158	0.077591	0.601455	8.626693	0.130556	0.003297	0.003297	0.003297	0.003297	0.003297	0.000960	0.000960	0.000960	0.000960	0.000960	0.052734	-0.462159	-0.412953	-0.411826	-0.43859	-0.512969	-0.522191	0.410256	0	0	0.277778	na	3	0.410256	0.164308	2	0.538462	0	0.644494	0.538462	0.128205	-0.314821	0.614262	0.769231	na	0	1	0.333333	-0.800418	0.621302	na	na	na	na	23	23.869	0.475464	0.49508	0.454545	0.461538	-0.163001	-0.284893	0.715184	0.954679	-0.479392	0.174227	0.277778	0	0	1	0	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	25	25.6473	na	na	na	na	na	na	na	na	na	0	na	0	0	
11	0.532587	0.051422	52.633736	5.441829	0.535517	0.033822	0.033822	0.033822	0.033822	0.033822	0.023484	0.023484	0.023484	0.023484	0.023484	0.018526	0.169989	7.71613	0.565815	0.478129	0.641495	0.519225	34.7949	0.0992908	0.14841	0.191045	na	9	0.935897	0.151926	283	94.5641	0	91.1959	94.5641	59.7692	0.0706759	0.752294	0.230769	na	42	64	77.1667	-0.695002	0.136095	na	na	na	na	44	131.001	104.127	107.432	100.121	101.292	-0.229223	-0.391283	31.4145	-2.13117	3.81991	0.0613083	0.167454	0.0235915	150	64	62	79	23	12	13	5	5	9	8	1	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	64	0	na	0	na	na	na	na	327	531.074	na	na	na	na	na	na	na	na	na	0	na	0	0	
12	0.855981	0.085696	0.102447	7.229789	4.370818	0.062497	0.062497	0.062497	0.062497	0.062497	0.064559	0.064559	0.064559	0.064559	0.064559	0.027515	-1.13524	-5.341	-1.27808	-1.29012	-1.15195	-1.21092	-6.29487	0.0769231	0.111111	0.117656	na	12	0.987179	0.0908423	27	6.4359	0	8.70067	6.4359	12.7308	-0.498099	-1.29457	0.153846	na	1	14	9.58333	0.382782	0.0887574	na	na	na	na	367	697.363	6.18103	4.9508	5.06061	4.58462	-1.02281	-0.470532	2.88115	0.107944	-0.617354	0.0330375	0.120289	-0.00263308	18	14	3	0	1	0	1	0	0	2	2	1	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	14	0	na	0	na	na	na	na	394	776.671	na	na	na	na	na	na	na	na	na	0	na	0	0	
13	0.000345	0.098903	54.921209	10.723036	0.105722	0.022739	0.022739	0.022739	0.022739	0.022739	0.011623	0.011623	0.011623	0.011623	0.011623	0.031093	-1.6388	-3.27364	-1.57814	-1.65414	-1.98733	-1.98867	-1.69231	0.142857	0.25	0.152327	na	7	0.794872	0.0867756	8	1.48718	0	2.57798	1.48718	3.17949	-0.809673	-0.971018	0.461538	na	0	6	2.33333	-0.267318	0.266272	na	na	na	na	271	395.375	0.950927	0.990159	0.666667	0.676923	-1.33151	-1.60475	1.06593	0.232382	-0.747452	0.0578567	0.0813943	0.0709325	7	6	0	0	0	0	0	0	0	0	0	2	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	6	0	na	0	na	na	na	na	279	408.446	na	na	na	na	na	na	na	na	na	0	na	0	0	
14	0.555121	0.043706	0.366022	10.669512	7.390846	0.006751	0.006751	0.006751	0.006751	0.006751	0.009391	0.009391	0.009391	0.009391	0.009391	0.044512	-0.290502	-2.99641	-0.101952	-0.157038	-0.245089	-0.271182	-0.897436	0	0	0.114934	na	8	0.923077	0.131224	8	2.38462	0	2.57798	2.38462	3.28205	-0.143527	-0.514934	0.230769	na	1	3	2.83333	0.279028	0.147929	na	na	na	na	78	87.918	2.37732	2.4754	2.27273	2.30769	-0.228924	-0.403101	1.22983	-0.0918384	-0.424845	0.0772518	0.0923532	0.0225806	2	3	2	0	0	0	0	0	1	1	1	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	86	94.3806	na	na	na	na	na	na	na	na	na	0	na	0	0	
15	0.075387	0.020191	326.131678	10.286159	0.738383	0.004141	0.004141	0.004141	0.004141	0.004141	0.003746	0.003746	0.003746	0.003746	0.003746	0.068892	-0.241213	8.1143	-0.594207	-0.51983	-0.928266	-0.751516	10.9744	0.177419	0.24	0.287276	na	7	0.794872	0.126666	125	38.1538	0	40.2809	38.1538	27.1795	-0.101045	0.529678	0.461538	na	8	58	32.6667	-0.830328	0.266272	na	na	na	na	29	62.9602	31.8561	32.6753	34.5455	34.8923	0.498988	0.460526	22.3567	-0.792501	-0.98399	0.110125	0.214428	0.0728479	12	58	5	29	1	1	11	8	6	4	1	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	58	0	na	0	na	na	na	na	154	184.123	na	na	na	na	na	na	na	na	na	0	na	0	0	
16	0.000730	0.062792	4.883581	5.054344	4.003893	0.001997	0.001997	0.001997	0.001997	0.001997	0.000206	0.000206	0.000206	0.000206	0.000206	0.021635	-1.14915	-0.537142	-1.36547	-1.35219	-1.45025	-1.43352	0.141026	na	na	na	na	2	0.153846	0.266469	1	0.153846	0	0.322247	0.153846	0.0128205	-1	0.317792	0.923077	na	0	1	0.0833333	-0.89848	0.857988	na	na	na	na	10	10.18	0	0	0	0	na	na	0.363137	1.95664	1.74939	0.715976	na	0	0	1	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	11	11.1229	na	na	na	na	na	na	na	na	na	0	na	0	0	
17	0.926794	0.052031	1.245937	8.951147	4.014538	0.041919	0.041919	0.041919	0.041919	0.041919	0.020274	0.020274	0.020274	0.020274	0.020274	0.066560	-0.404775	-4.0254	-0.490081	-0.486441	-0.108903	-0.212073	-14.4231	0.0769231	0.132075	0.217246	na	13	1	0.114861	53	15.5385	0	17.0791	15.5385	29.9615	-0.172614	-1.58901	0.0769231	na	8	18	22.75	1.37026	0.0769231	na	na	na	na	317	563.987	16.6412	14.3573	15.0909	14.2154	-0.544833	-0.0660601	5.03931	-0.290891	-0.591976	0.0420776	0.110568	0.106678	35	18	3	5	3	4	2	1	0	4	2	5	6	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	18	0	na	0	na	na	na	na	370	674.288	na	na	na	na	na	na	na	na	na	0	na	0	0	
18	0.015378	0.003393	155.596266	9.486873	0.349784	0.012681	0.012681	0.012681	0.012681	0.012681	0.003022	0.003022	0.003022	0.003022	0.003022	0.072695	-1.14915	-0.537142	-1.36547	-1.35219	-1.45025	-1.43352	0.141026	na	na	na	na	2	0.153846	0.266469	1	0.153846	0	0.322247	0.153846	0.0128205	-1	0.317792	0.923077	na	0	1	0.0833333	-0.89848	0.857988	na	na	na	na	154	184.234	0	0	0	0	na	na	0.363137	1.95664	1.74939	0.715976	na	0	1	1	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	155	185.571	na	na	na	na	na	na	na	na	na	0	na	0	0	
19	0.005547	0.043319	665.129257	2.157937	0.319076	0.052771	0.052771	0.052771	0.052771	0.052771	0.013968	0.013968	0.013968	0.013968	0.013968	0.067559	-1.85041	-5.66133	-1.94602	-1.99634	-1.4877	-1.68073	-3.11538	0.142857	0.266667	0.151154	na	10	0.948718	0.0620174	15	2.69231	0	4.8337	2.69231	5.80769	-0.847738	-1.07259	0.230769	na	0	9	4.25	-0.40471	0.12426	na	na	na	na	147	179.694	2.85278	1.48524	1.54545	1.01538	-2.43436	-1.74238	1.35136	-0.0644289	-0.737552	0.0618014	0.075962	0.0751924	1	9	3	0	0	0	0	0	0	0	0	0	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	9	0	na	0	na	na	na	na	162	195.825	na	na	na	na	na	na	na	na	na	0	na	0	0	
