mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	fr[pop=0,12]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
20	0.000262	0.064488	827.900582	4.203253	1.480706	0.067973	0.067973	0.067973	0.067973	0.067973	0.036844	0.036844	0.036844	0.036844	0.036844	0.023165	-1.47116	-5.51209	-1.71714	-1.71841	-1.15449	-1.32053	-10.7564	0.0714286	0.137931	0.102107	na	12	0.987179	0.0739752	29	6.20513	0	9.34516	6.20513	16.9615	-0.642972	-2.07354	0.153846	na	0	15	11.5833	0.914282	0.0887574	na	na	na	na	304	496.649	6.65649	3.96064	4.60606	3.56923	-1.74497	-0.617724	2.49341	-0.611562	-0.245576	0.0386259	0.106189	-0.00408148	6	15	2	0	2	0	0	0	0	2	0	2	6	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	15	0	na	0	na	na	na	na	333	548.757	na	na	na	na	na	na	na	na	na	0	na	0	0	
21	0.034118	0.027787	137.639440	7.222833	0.817048	0.054253	0.054253	0.054253	0.054253	0.054253	0.031977	0.031977	0.031977	0.031977	0.031977	0.039435	0.733994	5.8654	0.409251	0.517916	0.766539	0.799128	-31.4744	0.269625	0.312925	0.436502	na	10	0.948718	0.174176	294	109.846	0	94.7406	109.846	141.321	0.305102	-0.655318	0.230769	na	27	61	125.583	1.47203	0.12426	na	na	na	na	62	219.965	110.783	106.937	118.727	117.415	0.427425	0.670826	67.7781	-0.728646	-1.17761	0.0420776	0.303938	0.132564	216	61	33	5	40	20	34	37	18	12	1	16	17	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	61	0	na	0	na	na	na	na	356	623.013	na	na	na	na	na	na	na	na	na	0	na	0	0	
22	0.004825	0.002312	0.485667	11.891696	2.747685	0.055167	0.055167	0.055167	0.055167	0.055167	0.025313	0.025313	0.025313	0.025313	0.025313	0.073354	-1.46801	-1.4015	-1.7764	-1.75436	-1.95589	-1.9147	0.282051	0	0	0.00694444	na	3	0.294872	0.180401	2	0.307692	0	0.644494	0.307692	0.025641	-1	0.422305	0.846154	na	0	2	0.166667	-1.22914	0.727811	na	na	na	na	488	1890.47	0	0	0	0	na	na	0.491689	1.18233	0.0984689	0.258547	0.00694444	0	0	2	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	2	0	na	0	na	na	na	na	490	1979.18	na	na	na	na	na	na	na	na	na	0	na	0	0	
23	0.008809	0.069629	3.594962	7.288152	0.570667	0.030456	0.030456	0.030456	0.030456	0.030456	0.007806	0.007806	0.007806	0.007806	0.007806	0.048940	-1.26444	-4.38456	-1.56765	-1.54519	-2.03471	-1.91154	1.87179	0.1	0.181818	0.116098	na	9	0.910256	0.100213	11	2.4359	0	3.54472	2.4359	0.564103	-0.598582	0.833931	0.307692	na	1	8	1.5	-1.78523	0.159763	na	na	na	na	236	322.089	1.42639	1.48524	1.42424	1.44615	-0.00726955	-0.14494	1.4012	0.193039	-0.37517	0.0590072	0.108049	0.00804956	3	8	1	0	2	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	8	0	na	0	na	na	na	na	247	340.757	na	na	na	na	na	na	na	na	na	0	na	0	0	
24	0.002434	0.090338	20.839309	3.149221	0.673137	0.059308	0.059308	0.059308	0.059308	0.059308	0.015265	0.015265	0.015265	0.015265	0.015265	0.053592	-1.674	-5.45125	-2.0561	-2.03263	-2.49263	-2.37276	1.58974	0.1	0.190476	0.146492	na	11	0.974359	0.099016	21	4.12821	0	6.76718	4.12821	2.53846	-0.74623	0.409103	0.153846	na	1	16	3.33333	-1.82922	0.100592	na	na	na	na	219	293.738	2.37732	1.98032	1.9697	1.81538	-0.892187	-0.480724	2.99506	1.04588	0.213778	0.0282709	0.16744	-0.0209484	7	16	1	2	1	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	16	0	na	0	na	na	na	na	240	327.098	na	na	na	na	na	na	na	na	na	0	na	0	0	
25	0.104621	0.097866	0.404140	8.241082	0.106219	0.024642	0.024642	0.024642	0.024642	0.024642	0.009689	0.009689	0.009689	0.009689	0.009689	0.044995	0.6988	-3.55573	0.497984	0.573195	0.798677	0.811473	-1.0641	0.25	0.294118	0.301634	na	11	0.974359	0.171841	17	6.38462	0	5.4782	6.38462	7.44872	0.316618	-0.329192	0.153846	na	2	3	6.91667	0.905686	0.100592	na	na	na	na	245	349.507	6.65649	6.43603	7	6.92308	0.292337	0.489569	3.38534	-0.0689365	-1.53672	0.120973	0.193096	0.108538	3	3	2	1	2	4	1	0	2	0	0	1	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	262	371.348	na	na	na	na	na	na	na	na	na	0	na	0	0	
26	0.863728	0.007187	196.538413	9.361422	3.722437	0.038895	0.038895	0.038895	0.038895	0.038895	0.008129	0.008129	0.008129	0.008129	0.008129	0.031359	0.106797	1.047	0.516784	0.423076	0.743717	0.572009	9.46154	0.0375587	0.0607477	0.153817	na	12	0.987179	0.147174	214	70.5641	0	68.9608	70.5641	61.1026	0.0444885	0.269544	0.153846	na	64	45	65.8333	-0.203397	0.0887574	na	na	na	na	16	83.3526	80.3533	80.2029	75.2121	75.0769	-0.380872	-0.437002	18.5231	-2.6671	7.02314	0.0215319	0.127558	0.0262592	402	45	48	50	21	8	7	8	6	1	7	6	7	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	45	0	na	0	na	na	na	na	230	308.211	na	na	na	na	na	na	na	na	na	0	na	0	0	
27	0.006197	0.003529	10.367396	8.282255	9.720423	0.066073	0.066073	0.066073	0.066073	0.066073	0.007576	0.007576	0.007576	0.007576	0.007576	0.056174	na	na	na	na	na	na	0	na	na	na	na	1	0	na	0	0	0	0	0	0	na	na	1	na	0	0	0	na	1	na	na	na	na	457	1230.82	0	0	0	0	na	na	0	na	na	0.0215319	na	0	1	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	457	1230.82	na	na	na	na	na	na	na	na	na	0	na	0	0	
28	0.000118	0.038241	286.064430	4.976298	0.496412	0.002446	0.002446	0.002446	0.002446	0.002446	0.000265	0.000265	0.000265	0.000265	0.000265	0.071179	na	na	na	na	na	na	0	na	na	na	na	1	0	na	0	0	0	0	0	0	na	na	1	na	0	0	0	na	1	na	na	na	na	13	13.1722	0	0	0	0	na	na	0	na	na	0.0215319	na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	13	13.1722	na	na	na	na	na	na	na	na	na	0	na	0	0	
29	0.782779	0.090662	0.124253	6.045682	0.328276	0.037825	0.037825	0.037825	0.037825	0.037825	0.014915	0.014915	0.014915	0.014915	0.014915	0.035157	-1.44054	-4.82317	-1.288	-1.38203	-0.755249	-1.01365	-4.89744	0	0	0.0176527	na	11	0.974359	0.0876066	22	4.71795	0	7.08943	4.71795	9.61538	-0.640108	-1.20956	0.153846	na	1	10	7.16667	0.0396282	0.100592	na	na	na	na	246	351.991	5.70556	3.96064	3.75758	3.07692	-1.91771	-1.39469	2.31257	0.489491	0.0953342	0.0223537	0.11714	-0.0994873	10	10	4	3	0	0	0	0	0	0	0	1	4	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	10	0	na	0	na	na	na	na	268	384.129	na	na	na	na	na	na	na	na	na	0	na	0	0	
30	0.000157	0.092946	49.502101	6.746674	9.114613	0.037406	0.037406	0.037406	0.037406	0.037406	0.042338	0.042338	0.042338	0.042338	0.042338	0.071797	-1.35215	-1.79362	-1.56765	-1.5692	-2.03471	-1.93797	1.05128	0.1	0.181818	0.22383	na	7	0.833333	0.0916532	11	2.35897	0	3.54472	2.35897	1.30769	-0.640108	0.468372	0.384615	na	0	8	1.83333	-1.4942	0.230769	na	na	na	na	290	438.059	1.42639	1.48524	1.33333	1.35385	-0.314907	-0.487248	1.45025	0.0261555	-0.630605	0.483728	0.110572	0.113258	6	8	1	1	0	0	0	0	0	1	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	8	0	na	0	na	na	na	na	301	460.948	na	na	na	na	na	na	na	na	na	0	na	0	0	
31	0.094033	0.041735	38.691371	9.758768	0.210870	0.053847	0.053847	0.053847	0.053847	0.053847	0.051146	0.051146	0.051146	0.051146	0.051146	0.037981	0.998473	5.32711	0.906461	0.970441	1.28163	1.25923	-17.3462	0.117647	0.179916	0.300226	na	10	0.923077	0.184887	239	93.7436	0	77.017	93.7436	111.09	0.41559	-0.443162	0.307692	na	48	31	102.417	1.48371	0.147929	na	na	na	na	61	186.352	98.8964	99.0159	105.152	105.292	0.376837	0.433835	38.378	-1.42972	0.862127	0.04405	0.203979	0.0962478	322	31	32	16	37	32	18	14	8	25	11	7	8	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	31	0	na	0	na	na	na	na	300	458.438	na	na	na	na	na	na	na	na	na	0	na	0	0	
32	0.125805	0.077508	4.489214	2.486932	0.194070	0.018449	0.018449	0.018449	0.018449	0.018449	0.002231	0.002231	0.002231	0.002231	0.002231	0.051812	0.392435	-2.5749	0.424248	0.432946	0.571663	0.544756	-2.37179	0.208333	0.328767	0.359617	na	13	1	0.159988	73	25.5641	0	23.524	25.5641	27.9359	0.165951	-0.192636	0.0769231	na	8	17	26.75	0.582421	0.0769231	na	na	na	na	31	59.049	26.626	26.7343	27.1212	27.1692	0.109686	0.110119	8.3333	-0.74586	0.0464897	0.0203813	0.144705	0.214912	5	17	10	8	13	3	4	2	2	7	3	2	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	17	0	na	0	na	na	na	na	104	116.612	na	na	na	na	na	na	na	na	na	0	na	0	0	
33	0.005481	0.054049	31.953531	9.029320	0.233055	0.050386	0.050386	0.050386	0.050386	0.050386	0.007928	0.007928	0.007928	0.007928	0.007928	0.073942	-1.21868	-7.99057	-1.56117	-1.52852	-0.168167	-0.504097	-8.20513	0.0625	0.117647	0.0963673	na	12	0.987179	0.0703584	17	3.89744	0	5.4782	3.89744	12.1026	-0.552171	-2.53835	0.153846	na	2	6	8	1.58777	0.0887574	na	na	na	na	399	839.044	5.2301	2.4754	3.51515	2.46154	-1.83197	-0.0333127	1.22304	-0.0617525	0.458691	0.0902367	0.0598453	0.036522	3	6	1	2	1	0	1	0	0	0	0	0	6	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	6	0	na	0	na	na	na	na	416	893.486	na	na	na	na	na	na	na	na	na	0	na	0	0	
34	0.219334	0.097348	496.538360	2.334191	0.339577	0.033776	0.033776	0.033776	0.033776	0.033776	0.025582	0.025582	0.025582	0.025582	0.025582	0.071753	0.149763	4.51518	0.482783	0.409309	0.540571	0.439966	29.5769	0.146119	0.213636	0.249322	na	10	0.948718	0.148992	220	73.2051	0	70.8943	73.2051	43.6282	0.0623732	0.819952	0.230769	na	23	53	58.4167	-0.789995	0.12426	na	na	na	na	37	100.363	79.4024	81.6881	76.8788	77.6923	-0.189183	-0.334491	23.6277	-1.97038	3.53447	0.0542406	0.149615	0.0997071	54	53	57	37	26	18	10	6	4	2	2	3	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	53	0	na	0	na	na	na	na	257	360.942	na	na	na	na	na	na	na	na	na	0	na	0	0	
35	0.083492	0.050059	0.154327	7.150256	1.019201	0.004846	0.004846	0.004846	0.004846	0.004846	0.006081	0.006081	0.006081	0.006081	0.006081	0.002174	-1.65231	-0.68877	-2.02547	-1.99639	-2.29386	-2.2278	0.423077	0.5	0.666667	0.503472	na	3	0.294872	0.19188	3	0.461538	0	0.966741	0.461538	0.0384615	-1	0.489367	0.846154	na	0	3	0.25	-1.45924	0.727811	na	na	na	na	51	54.0527	0	0	0	0	na	na	0.784465	1.45566	0.730197	0.3381	0.337963	0.165509	0	3	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	54	57.148	na	na	na	na	na	na	na	na	na	0	na	0	0	
36	0.095500	0.087710	0.167172	3.106383	4.807940	0.025268	0.025268	0.025268	0.025268	0.025268	0.006501	0.006501	0.006501	0.006501	0.006501	0.016798	-0.879765	-2.81273	-0.616637	-0.71219	-0.38208	-0.551162	0.025641	0.222222	0.3	0.279602	na	8	0.858974	0.107264	10	2.51282	0	3.22247	2.51282	2.48718	-0.421405	0.0123381	0.384615	na	0	4	2.5	-0.675463	0.207101	na	na	na	na	106	122.082	2.85278	2.4754	2.24242	2.09231	-1.13654	-0.920804	1.49235	-0.242006	-0.924982	0.0586785	0.130506	0.149095	0	4	3	1	0	1	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	4	0	na	0	na	na	na	na	116	132.002	na	na	na	na	na	na	na	na	na	0	na	0	0	
37	0.004844	0.016067	2.000138	10.435531	0.137788	0.037813	0.037813	0.037813	0.037813	0.037813	0.003951	0.003951	0.003951	0.003951	0.003951	0.064546	-1.77497	-3.05972	-2.19699	-2.16219	0.271308	-0.279041	-4.9359	0	0	0.00694444	na	5	0.538462	0.115385	4	0.615385	0	1.28899	0.615385	5.55128	-1	-4.70406	0.692308	na	0	1	3.08333	3.07236	0.502959	na	na	na	na	353	622.477	1.42639	0	0.545455	0	-2.9811	na	0.628971	0.513484	-0.671959	0.213018	0.00694444	8.67362e-19	3	1	0	0	0	0	0	0	0	0	0	0	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	357	626.506	na	na	na	na	na	na	na	na	na	0	na	0	0	
38	0.015272	0.088739	555.488789	7.539000	1.452082	0.024936	0.024936	0.024936	0.024936	0.024936	0.025179	0.025179	0.025179	0.025179	0.025179	0.064934	-0.960131	0.151463	-0.647739	-0.762443	-0.071771	-0.371059	-33.5513	0.73913	0.795699	0.774423	na	11	0.974359	0.135933	93	23.641	0	29.969	23.641	57.1923	-0.40405	-2.15816	0.153846	na	2	31	40.4167	1.50619	0.100592	na	na	na	na	157	246.086	29.4787	23.7638	22.303	20.0615	-1.43739	-1.05256	18.0375	0.933079	0.415795	0.0332018	0.292375	0.482048	20	31	11	16	0	0	0	0	0	0	15	6	14	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	31	0	na	0	na	na	na	na	250	346.727	na	na	na	na	na	na	na	na	na	0	na	0	0	
39	0.065941	0.017746	4.362368	10.017186	4.533685	0.065152	0.065152	0.065152	0.065152	0.065152	0.010896	0.010896	0.010896	0.010896	0.010896	0.009772	0.183553	11.9228	-0.0513955	0.0125164	0.841082	0.668943	-49.9872	0.434783	0.496403	0.605822	na	6	0.717949	0.154338	139	46.5897	0	44.7923	46.5897	96.5769	0.0767878	-2.17509	0.538462	na	9	27	71.5833	2.64035	0.337278	na	na	na	na	279	586.369	53.2519	44.0621	50.1515	46.6769	-0.345749	0.404079	34.1229	-0.248135	-1.4331	0.190007	0.314534	0.291287	126	27	6	12	21	6	0	3	13	14	11	3	23	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	27	0	na	0	na	na	na	na	418	905.596	na	na	na	na	na	na	na	na	na	0	na	0	0	
40	0.000250	0.033949	0.107097	11.369775	0.345682	0.020249	0.020249	0.020249	0.020249	0.020249	0.003528	0.003528	0.003528	0.003528	0.003528	0.048695	-1.83141	-5.24657	-2.0702	-2.08338	-2.56807	-2.48584	1.21795	0	0	0.0714286	na	8	0.807692	0.0812264	8	1.35897	0	2.57798	1.35897	0.141026	-0.904836	0.698839	0.461538	na	0	7	0.75	-1.99741	0.254438	na	na	na	na	260	368.606	0.475464	0.49508	0.333333	0.338462	-1.10753	-1.33029	0.966643	0.367571	-0.46692	0.0964826	0.0602904	0.0111382	1	7	1	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	7	0	na	0	na	na	na	na	268	384.129	na	na	na	na	na	na	na	na	na	0	na	0	0	
41	0.008348	0.028581	0.375837	6.147534	3.008180	0.051072	0.051072	0.051072	0.051072	0.051072	0.043324	0.043324	0.043324	0.043324	0.043324	0.053521	-1.7664	-4.03662	-1.95036	-1.97327	-1.75606	-1.84938	-0.75641	0	0	0.00831229	na	7	0.794872	0.0928302	7	1.20513	0	2.25573	1.20513	1.96154	-0.891241	-0.480807	0.461538	na	0	5	1.58333	-0.80432	0.266272	na	na	na	na	320	515.288	0.950927	0.49508	0.515152	0.338462	-2.04122	-1.33029	0.858252	0.346265	-0.495866	0.17357	0.0565777	-0.0482654	1	5	1	0	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	5	0	na	0	na	na	na	na	327	531.074	na	na	na	na	na	na	na	na	na	0	na	0	0	
42	0.009931	0.082608	102.237353	2.027514	1.088195	0.022070	0.022070	0.022070	0.022070	0.022070	0.043012	0.043012	0.043012	0.043012	0.043012	0.034379	-1.99828	-7.30427	-2.38176	-2.36911	-2.61719	-2.57038	-0.0512821	0	0	0.00843664	na	10	0.923077	0.0563815	12	1.97436	0	3.86696	1.97436	2.02564	-0.936558	-0.0212767	0.307692	na	0	10	2	-1.52981	0.147929	na	na	na	na	76	84.6267	0.950927	0.49508	0.515152	0.338462	-2.04122	-1.33029	1.04415	-0.018044	-0.639439	0.11407	0.0518346	-0.043398	0	10	1	0	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	10	0	na	0	na	na	na	na	88	96.8024	na	na	na	na	na	na	na	na	na	0	na	0	0	
43	0.285941	0.035591	0.226096	9.689299	1.659381	0.004030	0.004030	0.004030	0.004030	0.004030	0.002278	0.002278	0.002278	0.002278	0.002278	0.017989	-0.27429	0.240431	0.73235	0.495801	0.689539	0.477839	0.230769	na	na	na	na	2	0.282051	0.141026	1	0.282051	0	0.322247	0.282051	0.0512821	-0.23869	0.520024	0.846154	na	0	0	0.166667	-0.585089	0.739645	na	na	na	na	43	45.1328	0.475464	0.49508	0.333333	0.338462	-1.10753	-1.33029	0.452911	0.987763	-1.10434	0.51545	na	0	0	0	1	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	44	46.0598	na	na	na	na	na	na	na	na	na	0	na	0	0	
44	0.241004	0.035941	7.023890	9.636163	3.901114	0.040280	0.040280	0.040280	0.040280	0.040280	0.010419	0.010419	0.010419	0.010419	0.010419	0.020159	0.472813	-0.865312	0.14364	0.242268	0.291625	0.368906	-18.5128	0.190476	0.266272	0.33795	na	13	1	0.1551	169	60.0769	0	54.4597	60.0769	78.5897	0.197374	-0.665211	0.0769231	na	27	47	69.3333	1.21527	0.0769231	na	na	na	na	181	336.816	58.0066	56.9342	62.4545	62.1231	0.455636	0.621867	23.5144	-0.920538	0.0333357	0.0193951	0.168204	0.169746	113	47	12	4	23	18	12	4	16	13	5	8	7	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	47	0	na	0	na	na	na	na	350	602.552	na	na	na	na	na	na	na	na	na	0	na	0	0	
45	0.002844	0.094854	0.256168	4.398551	8.611820	0.070739	0.070739	0.070739	0.070739	0.070739	0.041196	0.041196	0.041196	0.041196	0.041196	0.001109	-1.47512	-4.12515	-1.3846	-1.46575	-0.813611	-1.06985	-6.08974	0.08	0.153846	0.134312	na	11	0.974359	0.0843584	26	5.53846	0	8.37842	5.53846	11.6282	-0.648626	-1.2957	0.153846	na	0	12	8.58333	0.0916941	0.100592	na	na	na	na	319	530.851	6.65649	4.45572	4.36364	3.50769	-1.95128	-1.3429	2.25453	-0.442464	-0.155552	0.0253123	0.110899	0.0234136	16	12	5	2	1	0	0	0	0	0	0	1	5	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	12	0	na	0	na	na	na	na	345	586.12	na	na	na	na	na	na	na	na	na	0	na	0	0	
46	0.020741	0.070671	0.169179	6.289857	0.218312	0.020100	0.020100	0.020100	0.020100	0.020100	0.013767	0.013767	0.013767	0.013767	0.013767	0.017818	-0.785125	-2.43533	-0.895621	-0.898359	0.494648	0.159457	-4.32051	0	0	0.0518782	na	6	0.717949	0.11584	5	1.25641	0	1.61123	1.25641	5.57692	-0.421405	-3.51974	0.538462	na	0	1	3.41667	2.68948	0.337278	na	na	na	na	190	244.202	1.90185	0.990159	1.30303	0.953846	-1.59073	-0.186037	1.04987	0.430767	-0.757159	0.0404339	0.111913	-0.0600347	2	1	0	0	0	1	0	0	0	0	0	1	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	195	247.221	na	na	na	na	na	na	na	na	na	0	na	0	0	
47	0.639510	0.088064	1.110560	2.937062	0.246014	0.074362	0.074362	0.074362	0.074362	0.074362	0.070106	0.070106	0.070106	0.070106	0.070106	0.037173	0.797243	0.620235	0.800172	0.83261	1.15078	1.0989	-8.47436	0.223684	0.311688	0.388637	na	11	0.974359	0.176336	77	29.1795	0	24.813	29.1795	37.6538	0.336741	-0.653926	0.153846	na	9	11	33.4167	1.47865	0.100592	na	na	na	na	200	309.782	31.3806	31.19	32.4848	32.4308	0.207949	0.269843	12.4157	-0.88636	-0.248575	0.0282709	0.195878	0.192759	24	11	13	4	7	10	6	7	5	1	6	4	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	11	0	na	0	na	na	na	na	277	403.936	na	na	na	na	na	na	na	na	na	0	na	0	0	
48	0.003695	0.067034	0.212295	4.406377	0.996229	0.012437	0.012437	0.012437	0.012437	0.012437	0.005090	0.005090	0.005090	0.005090	0.005090	0.036371	-1.86311	-4.00948	-2.32348	-2.28396	-1.93313	-2.00916	-1.12821	0	0	0.00694444	na	6	0.641026	0.0973009	5	0.769231	0	1.61123	0.769231	1.89744	-1	-0.9191	0.615385	na	0	4	1.33333	-0.413978	0.408284	na	na	na	na	81	89.848	0.475464	0	0.181818	0	-2.28819	na	0.662994	0.29228	-0.793026	0.286654	0.00694444	1.73472e-18	0	4	0	0	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	4	0	na	0	na	na	na	na	86	94.3806	na	na	na	na	na	na	na	na	na	0	na	0	0	
49	0.706511	0.025963	0.259711	7.351743	0.679521	0.013730	0.013730	0.013730	0.013730	0.013730	0.002386	0.002386	0.002386	0.002386	0.002386	0.001653	0.210295	-0.341163	-0.594013	-0.397831	-0.825835	-0.564964	0.602564	0	0	0.135544	na	6	0.794872	0.15166	8	2.71795	0	2.57798	2.71795	2.11538	0.103899	0.345741	0.384615	na	0	4	2.41667	-0.17626	0.266272	na	na	na	na	124	145.508	1.90185	1.98032	2.48485	2.52308	1.54868	1.58195	1.85792	-0.297916	-1.45883	0.211703	0.227849	-0.0923044	3	4	0	0	0	1	2	0	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	4	0	na	0	na	na	na	na	132	153.289	na	na	na	na	na	na	na	na	na	0	na	0	0	
50	0.001241	0.036184	14.689044	7.113318	0.170329	0.064356	0.064356	0.064356	0.064356	0.064356	0.008789	0.008789	0.008789	0.008789	0.008789	0.032112	-1.44003	-4.11798	-1.1812	-1.29447	0.666295	0.0979771	-4.47436	0	0	0.102146	na	7	0.794872	0.0901497	6	1.17949	0	1.93348	1.17949	5.65385	-0.74623	-3.19208	0.461538	na	0	1	3.41667	1.96471	0.266272	na	na	na	na	402	832.485	2.37732	0.990159	1.21212	0.676923	-2.55035	-1.60475	0.83345	0.33954	-0.426585	0.185733	0.0426079	0.0595386	7	1	2	0	0	0	0	0	0	0	0	0	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	408	847.786	na	na	na	na	na	na	na	na	na	0	na	0	0	
