mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
10	0.000158	0.077591	0.601455	8.626693	0.130556	0.003297	0.003297	0.003297	0.003297	0.003297	0.000960	0.000960	0.000960	0.000960	0.000960	0.052734	-0.194921	0.297358	0.752024	0.532688	0.703619	0.511333	0.242424	na	na	na	na	2	0.30303	0.151515	1	0.30303	0	0.331139	0.30303	0.0606061	-0.170904	0.541144	0.833333	na	0	0	0.181818	-0.560518	0.722222	na	na	na	na	9	9.24311	0.49508	0.518412	0.363636	0.37037	-1.04116	-1.30568	0.46309	0.87726	-1.32578	0.485767	na	0	0	0	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	10	10.0911	na	na	na	na	na	na	na	na	na	0	na	0	0	
11	0.532587	0.051422	52.633736	5.441829	0.535517	0.033822	0.033822	0.033822	0.033822	0.033822	0.023484	0.023484	0.023484	0.023484	0.023484	0.018526	-0.0309506	5.56451	0.0997433	0.0676306	0.0963949	0.0595714	-0.272727	0.202381	0.264822	0.361502	na	9	0.939394	0.143517	253	83.2273	0	83.7782	83.2273	83.5	-0.0132407	-0.00650514	0.25	na	23	80	83.3636	-0.0228348	0.138889	na	na	na	na	56	151.252	85.6488	86.5748	83.8727	84.2037	-0.12778	-0.198467	40.7755	-0.794861	-0.789984	0.0674931	0.199584	0.161917	56	80	61	17	11	13	25	6	15	13	6	6	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	80	0	na	0	na	na	na	na	309	451.237	na	na	na	na	na	na	na	na	na	0	na	0	0	
12	0.855981	0.085696	0.102447	7.229789	4.370818	0.062497	0.062497	0.062497	0.062497	0.062497	0.064559	0.064559	0.064559	0.064559	0.064559	0.027515	-0.858865	-4.03734	-0.213702	-0.395119	-0.431701	-0.583861	-3.33333	0.125	0.235294	0.1477	na	10	0.969697	0.110772	17	4.51515	0	5.62937	4.51515	7.84848	-0.398499	-1.01932	0.166667	na	1	7	6.18182	0.346893	0.111111	na	na	na	na	442	909.994	4.9508	5.18412	4.01818	4.09259	-1.08756	-1.42715	3.02422	0.49228	-0.822661	0.046832	0.175062	-0.0273625	14	7	3	2	0	0	0	0	0	1	4	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	7	0	na	0	na	na	na	na	459	971.556	na	na	na	na	na	na	na	na	na	0	na	0	0	
13	0.000345	0.098903	54.921209	10.723036	0.105722	0.022739	0.022739	0.022739	0.022739	0.022739	0.011623	0.011623	0.011623	0.011623	0.011623	0.031093	-1.12873	-3.7348	-0.758635	-0.882873	-1.05501	-1.12817	1.75758	0	0	0.0772452	na	8	0.893939	0.102085	9	2.15152	0	2.98025	2.15152	0.393939	-0.559862	0.909569	0.333333	na	1	5	1.27273	-1.7155	0.180556	na	na	na	na	171	206.051	1.98032	2.07365	1.58182	1.61111	-1.06295	-1.38039	1.56148	0.815644	0.181197	0.0658861	0.144524	-0.0672788	0	5	3	1	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	5	0	na	0	na	na	na	na	180	217.518	na	na	na	na	na	na	na	na	na	0	na	0	0	
14	0.555121	0.043706	0.366022	10.669512	7.390846	0.006751	0.006751	0.006751	0.006751	0.006751	0.009391	0.009391	0.009391	0.009391	0.009391	0.044512	-0.86935	-0.465231	-0.786034	-0.834109	-1.05842	-1.05539	-0.212121	0.166667	0.285714	0.283117	na	5	0.757576	0.14604	7	1.80303	0	2.31797	1.80303	2.01515	-0.447269	-0.133378	0.416667	na	0	4	1.90909	-0.487973	0.305556	na	na	na	na	117	133.594	1.48524	1.55524	1.36364	1.38889	-0.414148	-0.633299	1.8582	1.18721	0.251597	0.0858586	0.349233	-0.0661157	1	4	1	0	0	1	0	0	0	0	1	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	4	0	na	0	na	na	na	na	124	140.311	na	na	na	na	na	na	na	na	na	0	na	0	0	
15	0.075387	0.020191	326.131678	10.286159	0.738383	0.004141	0.004141	0.004141	0.004141	0.004141	0.003746	0.003746	0.003746	0.003746	0.003746	0.068892	-0.0935652	1.58023	0.0621667	0.0218591	-0.0505999	-0.0672395	11.9091	0.140351	0.2	0.221068	na	10	0.969697	0.144968	115	37.3182	0	38.081	37.3182	25.4091	-0.040331	0.615747	0.166667	na	10	39	31.3636	-0.790244	0.111111	na	na	na	na	26	57.6382	37.626	38.8809	36.9818	37.463	-0.104937	-0.262808	15.4065	-1.21395	0.194941	0.0312213	0.187613	0.0334546	14	39	27	14	8	14	2	2	3	3	2	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	39	0	na	0	na	na	na	na	141	162.636	na	na	na	na	na	na	na	na	na	0	na	0	0	
16	0.000730	0.062792	4.883581	5.054344	4.003893	0.001997	0.001997	0.001997	0.001997	0.001997	0.000206	0.000206	0.000206	0.000206	0.000206	0.021635	na	na	na	na	na	na	0	na	na	na	na	1	0	na	0	0	0	0	0	0	na	na	1	na	0	0	0	na	1	na	na	na	na	3	3.00813	0	0	0	0	na	na	0	na	na	0.0312213	na	0	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	3	3.00813	na	na	na	na	na	na	na	na	na	0	na	0	0	
17	0.926794	0.052031	1.245937	8.951147	4.014538	0.041919	0.041919	0.041919	0.041919	0.041919	0.020274	0.020274	0.020274	0.020274	0.020274	0.066560	0.806869	1.40368	1.20187	1.13787	1.40523	1.28907	-0.0606061	0.375	0.575758	0.573199	na	8	0.924242	0.188016	33	12.8788	0	10.9276	12.8788	12.9394	0.359495	-0.0102597	0.25	na	3	3	12.9091	0.72331	0.152778	na	na	na	na	202	269.956	14.8524	15.5524	14.8545	15.1296	0.000877836	-0.192996	9.0171	0.237472	-1.29445	0.0700184	0.332781	0.240418	7	3	6	11	1	2	2	3	0	3	2	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	235	305.472	na	na	na	na	na	na	na	na	na	0	na	0	0	
18	0.015378	0.003393	155.596266	9.486873	0.349784	0.012681	0.012681	0.012681	0.012681	0.012681	0.003022	0.003022	0.003022	0.003022	0.003022	0.072695	1.61071	11.728	1.60326	1.663	1.93081	1.92971	-6.33333	0.967742	1	0.989247	na	3	0.530303	0.224669	32	14.3788	0	10.5965	14.3788	20.7121	0.718648	-1.10282	0.666667	na	0	0	17.5455	2.60408	0.513889	na	na	na	na	21	38.3785	15.8425	16.5892	17.2545	17.5741	0.53916	0.422194	14.6327	0.199028	-1.84415	0.254132	0.828629	0.160618	1	0	0	5	12	0	0	0	5	10	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	53	55.7003	na	na	na	na	na	na	na	na	na	0	na	0	0	
19	0.005547	0.043319	665.129257	2.157937	0.319076	0.052771	0.052771	0.052771	0.052771	0.052771	0.013968	0.013968	0.013968	0.013968	0.013968	0.067559	-0.920123	-2.66635	-0.135248	-0.34601	-0.274629	-0.465477	1.0303	0	0	0.0236364	na	6	0.863636	0.117559	5	1.24242	0	1.6557	1.24242	0.212121	-0.502542	0.830537	0.333333	na	0	2	0.727273	-1.38	0.208333	na	na	na	na	58	62	1.48524	1.55524	1.09091	1.11111	-1.34299	-1.69083	0.680737	-0.344342	-0.87282	0.35652	0.0237355	-9.91736e-05	2	2	3	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	2	0	na	0	na	na	na	na	63	66.866	na	na	na	na	na	na	na	na	na	0	na	0	0	
20	0.000262	0.064488	827.900582	4.203253	1.480706	0.067973	0.067973	0.067973	0.067973	0.067973	0.036844	0.036844	0.036844	0.036844	0.036844	0.023165	-1.89598	-3.08032	-2.35099	-2.31035	-3.0901	-2.88658	2.24242	0.0769231	0.142857	0.0879424	na	8	0.909091	0.0809666	14	2.57576	0	4.63595	2.57576	0.333333	-0.894718	0.809044	0.25	na	0	13	1.45455	-2.31821	0.166667	na	na	na	na	214	272.4	0.49508	0.518412	0.490909	0.5	-0.0330344	-0.162387	1.39296	-0.178698	-0.760962	0.056933	0.0985984	-0.010656	4	13	0	1	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	13	0	na	0	na	na	na	na	228	293.473	na	na	na	na	na	na	na	na	na	0	na	0	0	
21	0.034118	0.027787	137.639440	7.222833	0.817048	0.054253	0.054253	0.054253	0.054253	0.054253	0.031977	0.031977	0.031977	0.031977	0.031977	0.039435	-0.31977	7.09196	1.38623	0.970245	1.95369	1.30926	-103.879	0.796296	0.81106	0.852143	na	8	0.893939	0.1497	217	66.9697	0	71.8572	66.9697	170.848	-0.136942	-2.88281	0.333333	na	2	6	118.909	3.00874	0.180556	na	na	na	na	119	293.473	104.462	105.238	79.1636	79	-1.49347	-1.80817	81.2338	0.80089	-1.34728	0.0438476	0.679012	0.173131	63	6	97	1	0	0	0	0	16	1	88	8	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	6	0	na	0	na	na	na	na	336	515.64	na	na	na	na	na	na	na	na	na	0	na	0	0	
22	0.004825	0.002312	0.485667	11.891696	2.747685	0.055167	0.055167	0.055167	0.055167	0.055167	0.025313	0.025313	0.025313	0.025313	0.025313	0.073354	na	na	na	na	na	na	0	na	na	na	na	1	0	na	0	0	0	0	0	0	na	na	1	na	0	0	0	na	1	na	na	na	na	349	549.53	0	0	0	0	na	na	0	na	na	0.0438476	na	0	1	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	0	0	na	0	na	na	na	na	349	549.53	na	na	na	na	na	na	na	na	na	0	na	0	0	
23	0.008809	0.069629	3.594962	7.288152	0.570667	0.030456	0.030456	0.030456	0.030456	0.030456	0.007806	0.007806	0.007806	0.007806	0.007806	0.048940	-0.0474906	-0.137426	-0.373719	-0.30079	-0.482752	-0.391656	0.393939	0	0	0.181818	na	3	0.530303	0.183819	2	0.651515	0	0.662279	0.651515	0.257576	-0.032721	0.584062	0.666667	na	0	1	0.454545	-0.533325	0.513889	na	na	na	na	80	86.865	0.49508	0.518412	0.581818	0.592593	0.687058	0.654252	0.690427	0.587452	-0.806987	0.171028	0.181818	0	0	1	0	0	1	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	82	88.7193	na	na	na	na	na	na	na	na	na	0	na	0	0	
24	0.002434	0.090338	20.839309	3.149221	0.673137	0.059308	0.059308	0.059308	0.059308	0.059308	0.015265	0.015265	0.015265	0.015265	0.015265	0.053592	-1.27161	-5.17303	-1.34389	-1.37025	-1.77789	-1.71723	1.84848	0	0	0.020753	na	9	0.939394	0.0850883	10	2.28788	0	3.31139	2.28788	0.439394	-0.622301	0.879588	0.25	na	0	7	1.36364	-1.81653	0.138889	na	na	na	na	54	58.1931	1.48524	1.55524	1.34545	1.37037	-0.476071	-0.703801	1.0636	-0.370244	-0.504529	0.165748	0.0730334	-0.0522804	0	7	1	2	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	7	0	na	0	na	na	na	na	64	67.995	na	na	na	na	na	na	na	na	na	0	na	0	0	
25	0.104621	0.097866	0.404140	8.241082	0.106219	0.024642	0.024642	0.024642	0.024642	0.024642	0.009689	0.009689	0.009689	0.009689	0.009689	0.044995	-0.476012	-2.08369	-0.0526845	-0.167007	-0.200194	-0.289322	0.666667	0.142857	0.25	0.260029	na	7	0.893939	0.126724	8	2.33333	0	2.64911	2.33333	1.66667	-0.239995	0.378349	0.25	na	0	3	2	-0.707597	0.180556	na	na	na	na	121	138.812	2.4754	2.59206	2.2	2.24074	-0.604306	-0.863054	1.64862	0.442194	-1.10748	0.0640496	0.184363	0.0756657	1	3	2	2	0	0	0	0	0	1	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	129	146.785	na	na	na	na	na	na	na	na	na	0	na	0	0	
26	0.863728	0.007187	196.538413	9.361422	3.722437	0.038895	0.038895	0.038895	0.038895	0.038895	0.008129	0.008129	0.008129	0.008129	0.008129	0.031359	-1.27256	2.84253	-1.42937	-1.43939	-2.09504	-1.93382	36.6667	0.0676692	0.101124	0.118674	na	10	0.954545	0.0744282	267	64.5152	0	88.4142	64.5152	27.8485	-0.544221	0.829267	0.25	na	33	175	46.1818	-2.20699	0.125	na	na	na	na	31	78.6444	45.5473	46.1387	42.4182	42.5926	-0.42176	-0.554739	15.1132	-3.63798	13.2317	0.0635904	0.112765	0.00590953	66	175	30	35	12	2	4	2	0	1	3	3	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	175	0	na	0	na	na	na	na	298	426.999	na	na	na	na	na	na	na	na	na	0	na	0	0	
27	0.006197	0.003529	10.367396	8.282255	9.720423	0.066073	0.066073	0.066073	0.066073	0.066073	0.007576	0.007576	0.007576	0.007576	0.007576	0.056174	0.971732	11.5798	1.48374	1.39813	1.78036	1.61671	-15.6667	0.941176	0.942857	0.942959	na	3	0.530303	0.198858	35	14.0758	0	11.5899	14.0758	29.7424	0.431836	-2.51242	0.666667	na	0	1	21.9091	3.58146	0.513889	na	na	na	na	70	98.2835	16.8327	17.626	16.6909	17	-0.0510256	-0.252903	16.8023	0.377848	-1.95079	0.400597	0.944589	-0.00162974	4	1	0	11	0	0	0	0	0	23	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	105	116.377	na	na	na	na	na	na	na	na	na	0	na	0	0	
