mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
0	0.000610	0.049668	22.045378	8.255352	6.801385	0.064077	0.064077	0.064077	0.064077	0.064077	0.051530	0.051530	0.051530	0.051530	0.051530	0.065004	-1.33771	-4.65012	-0.960155	-1.09563	0.198229	-0.25989	-7.30303	0	0	0.089022	na	10	0.954545	0.084135	17	3.89394	0	5.62937	3.89394	11.197	-0.620675	-2.23324	0.25	na	1	5	7.54545	1.20314	0.125	na	na	na	na	419	808.098	5.94095	3.62888	3.67273	2.72222	-2.22844	-1.64717	2.28122	0.262886	-0.551985	0.045225	0.133213	-0.0441914	5	5	5	1	0	0	0	0	0	0	1	5	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	5	0	na	0	na	na	na	na	436	853.028	na	na	na	na	na	na	na	na	na	0	na	0	0	
1	0.000589	0.049313	0.721501	2.811207	0.195584	0.033897	0.033897	0.033897	0.033897	0.033897	0.017145	0.017145	0.017145	0.017145	0.017145	0.056339	-1.50018	-2.75726	-1.62623	-1.64748	-2.09972	-2.02831	0.121212	0.125	0.222222	0.17259	na	7	0.772727	0.103628	9	1.87879	0	2.98025	1.87879	1.75758	-0.744106	0.0627289	0.5	na	0	7	1.81818	-1.1675	0.291667	na	na	na	na	85	94.2208	0.990159	1.03682	0.854545	0.87037	-0.641604	-0.879076	1.4834	0.506114	-0.257028	0.0429293	0.143189	0.0294001	1	7	0	1	0	0	0	0	0	0	1	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	7	0	na	0	na	na	na	na	94	102.978	na	na	na	na	na	na	na	na	na	0	na	0	0	
2	0.000651	0.050630	0.313703	4.098011	9.045862	0.008983	0.008983	0.008983	0.008983	0.008983	0.009231	0.009231	0.009231	0.009231	0.009231	0.008504	-0.849715	-0.724551	-0.373719	-0.507046	-0.482752	-0.595998	0.393939	0	0	0.0181818	na	3	0.439394	0.157596	2	0.469697	0	0.662279	0.469697	0.0757576	-0.585452	0.584062	0.75	na	0	1	0.272727	-1.00012	0.597222	na	na	na	na	60	63.773	0.49508	0.518412	0.363636	0.37037	-1.04116	-1.30568	0.56076	0.662208	-0.676256	0.190312	0.0181818	0	0	1	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	62	65.7392	na	na	na	na	na	na	na	na	na	0	na	0	0	
3	0.000588	0.046238	187.068282	3.735003	3.241087	0.031492	0.031492	0.031492	0.031492	0.031492	0.003307	0.003307	0.003307	0.003307	0.003307	0.000616	-0.849715	-0.724551	-0.373719	-0.507046	-0.482752	-0.595998	0.393939	0	0	0.0181818	na	3	0.439394	0.157596	2	0.469697	0	0.662279	0.469697	0.0757576	-0.585452	0.584062	0.75	na	0	1	0.272727	-1.00012	0.597222	na	na	na	na	19	19.5913	0.49508	0.518412	0.363636	0.37037	-1.04116	-1.30568	0.56076	0.662208	-0.676256	0.190312	0.0181818	0	0	1	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	21	21.407	na	na	na	na	na	na	na	na	na	0	na	0	0	
4	0.001610	0.041871	19.030279	6.806228	3.036114	0.006844	0.006844	0.006844	0.006844	0.006844	0.000708	0.000708	0.000708	0.000708	0.000708	0.038992	-1.14053	-0.475656	-1.32974	-1.3184	-1.42122	-1.40617	0.151515	na	na	na	na	2	0.166667	0.276385	1	0.166667	0	0.331139	0.166667	0.0151515	-1	0.338215	0.916667	na	0	1	0.0909091	-0.90177	0.847222	na	na	na	na	8	8.1427	0	0	0	0	na	na	0.375534	1.83073	1.25744	0.694444	na	0	0	1	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	9	9.07367	na	na	na	na	na	na	na	na	na	0	na	0	0	
5	0.667870	0.009947	90.666321	7.161970	1.671543	0.010852	0.010852	0.010852	0.010852	0.010852	0.002579	0.002579	0.002579	0.002579	0.002579	0.002447	-0.337029	3.10793	0.189356	0.0525371	0.0692684	-0.0585717	15.5152	0.162162	0.226667	0.223586	na	8	0.924242	0.135999	75	23.0303	0	24.8354	23.0303	7.51515	-0.146338	1.21286	0.25	na	3	24	15.2727	-1.67853	0.152778	na	na	na	na	8	22.4473	25.2491	26.439	22.8364	23.2593	-0.582902	-0.862638	9.01788	-1.22467	1.45829	0.0374197	0.182364	0.0412213	4	24	26	15	7	0	2	1	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	24	0	na	0	na	na	na	na	83	89.8936	na	na	na	na	na	na	na	na	na	0	na	0	0	
6	0.886514	0.092336	265.731518	2.263352	4.530734	0.038741	0.038741	0.038741	0.038741	0.038741	0.010039	0.010039	0.010039	0.010039	0.010039	0.007728	-0.524771	0.870077	-0.590016	-0.59388	-0.991863	-0.891782	16.2424	0.175824	0.26087	0.232658	na	10	0.969697	0.120081	92	27.0303	0	30.4648	27.0303	10.7879	-0.226978	1.0428	0.166667	na	5	45	18.9091	-1.67739	0.111111	na	na	na	na	13	31.1926	23.2687	24.3654	23.4364	23.8704	0.0438912	-0.145533	10.142	-1.80454	2.14555	0.0431589	0.168127	0.0645305	5	45	5	32	4	1	2	2	0	0	1	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	45	0	na	0	na	na	na	na	105	116.377	na	na	na	na	na	na	na	na	na	0	na	0	0	
7	0.000739	0.085574	94.142699	8.890684	3.251007	0.009341	0.009341	0.009341	0.009341	0.009341	0.006484	0.006484	0.006484	0.006484	0.006484	0.047641	-1.62929	-2.12373	-1.95374	-1.92909	-2.23817	-2.17476	0.454545	0	0	0.00826446	na	4	0.454545	0.144338	3	0.5	0	0.993418	0.5	0.0454545	-1	0.520473	0.75	na	0	3	0.272727	-1.46429	0.583333	na	na	na	na	82	89.0126	0	0	0	0	na	na	0.588348	0.701115	-0.530919	0.18595	0.00826446	0	0	3	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	85	92.2497	na	na	na	na	na	na	na	na	na	0	na	0	0	
8	0.002315	0.017981	2.244254	7.816433	0.397810	0.055627	0.055627	0.055627	0.055627	0.055627	0.069066	0.069066	0.069066	0.069066	0.069066	0.068692	-1.94368	-2.85731	-2.38877	-2.34974	-1.68767	-1.84147	-2.57576	0.333333	0.428571	0.338843	na	6	0.681818	0.123144	7	1.16667	0	2.31797	1.16667	3.74242	-1	-1.61959	0.583333	na	0	5	2.45455	0.162987	0.375	na	na	na	na	498	1280.41	0.990159	0	0.4	0	-2.79211	na	1.17124	1.02805	0.150357	0.133838	0.149941	0.188902	4	5	0	0	0	0	0	0	0	0	0	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	5	0	na	0	na	na	na	na	505	1330.14	na	na	na	na	na	na	na	na	na	0	na	0	0	
9	0.816713	0.004844	3.080825	8.677094	1.081434	0.031588	0.031588	0.031588	0.031588	0.031588	0.012633	0.012633	0.012633	0.012633	0.012633	0.038016	0.23694	5.13559	-0.165247	-0.0614748	0.0997948	0.149329	-4.27273	0.166667	0.260274	0.288862	na	7	0.893939	0.150113	73	25.4091	0	24.1732	25.4091	29.6818	0.102938	-0.342787	0.25	na	9	23	27.5455	0.606881	0.180556	na	na	na	na	124	173.802	24.754	22.8101	25.8909	25.1481	0.280094	0.733494	9.90101	-1.6394	2.13904	0.0782828	0.175384	0.113478	5	23	5	9	6	7	6	9	0	1	1	6	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	23	0	na	0	na	na	na	na	197	243.248	na	na	na	na	na	na	na	na	na	0	na	0	0	
