mlcoalsim version 1.9916b (20190520)

"OUTPUT FILE: date Thu Sep 19 11:51:40 2019" 

"Input data from the file: baselines/case03/1locus_1pop_mhit0_recINF_Lmod.txt"

Print_neuttest:                  1
Print_matrixpol:                 1
N_iterations:                    500
Seed1:                           81140

N_loci:                          1
No_rec_males:                    0
Factorn_chr:                     1.000000
Pevent_sexratio:                
Fixmax_abstime_event:           
Sex_ratio:                       1.000000
N_sites:                         1000
N_samples:                       20
Npop:                            1


Thetaw:                          0.01

Recombination:                   1E+06
Iflogistic:                      0
Nintn:                           0
Nrec:                           
Tpast:                          



Patcg:                           -1




Neutral tests (excluding multiple hits positions)
value(TD[pop=0])	value(Fs[pop=0])	value(FDn[pop=0])	value(FFn[pop=0])	value(FD[pop=0])	value(FF[pop=0])	value(H[pop=0])	value(B[pop=0])	value(Q[pop=0])	value(ZnA[pop=0])	value(Fst[pop=0])	value(Kw[pop=0])	value(Hw[pop=0])	value(R2[pop=0])	value(S[pop=0])	value(piw[pop=0])	value(pib[pop=0])	value(ThetaW[pop=0])	value(ThetaT[pop=0])	value(ThetaFW[pop=0])	value(D_Dmin[pop=0])	value(H_norm[pop=0])	value(maxhap[pop=0])	value(maxhap1[pop=0])	value(Rm[pop=0])	value(ThetaFL[pop=0])	value(ThetaL[pop=0])	value(ZengE[pop=0])	value(EW[pop=0])	value(Fstw[pop=0])	value(minuiHS[pop=0])	value(maxuiHS[pop=0])	value(maxliES[pop=0])	value(fixoutg[pop=0])	value(KoutgJC[pop=0])	value(ThetaWA[pop=0])	value(ThetaWAn[pop=0])	value(ThetaTA[pop=0])	value(ThetaTAn[pop=0])	value(AchY[pop=0])	value(AchYn[pop=0])	value(m_sdev[pop=0])	value(m_skew[pop=0])	value(m_kurt[pop=0])	value(ragg[pop=0])	value(ZnS[pop=0])	value(ZZ[pop=0])	
0.517564	-11.0324	0.457481	0.507623	0.4624	0.519643	-1.68421	0	0	0.0377923	na	20	1	0.149585	37	11.7895	0	10.4292	11.7895	13.4737	0.202149	-0.278594	0.05	na	20	8	12.6316	0.745395	0.05	na	na	na	na	na	na	11.3826	11.6227	12.2105	12.2824	0.358585	0.298412	2.4684	-0.0515225	-0.424442	0.0269252	0.0492027	-0.0114104	
0.249705	-12.2414	0.512622	0.463684	0.52935	0.471655	4.16842	0	0	0.0553329	na	20	1	0.140562	34	10.1895	0	9.58357	10.1895	6.02105	0.0979866	0.745201	0.05	na	18	7	8.10526	-0.538046	0.05	na	na	na	na	na	na	10.5976	10.8212	10.5439	10.6059	-0.0249454	-0.104312	2.5168	0.171804	0.00264249	0.0201108	0.0534764	0.0018565	
-0.377923	-12.2281	-0.590651	-0.562942	-0.839947	-0.740818	-3.27368	0	0	0.0498021	na	20	1	0.109181	40	10.2053	0	11.2748	10.2053	13.4789	-0.147018	-0.503887	0.05	na	16	16	11.8421	0.179449	0.05	na	na	na	na	na	na	9.42011	9.61882	9.5614	9.61765	0.0733761	-0.000637013	2.2242	0.441068	-0.261085	0.0223823	0.0453159	0.00448627	
0.21581	-11.8263	-0.207729	-0.0869935	-0.361204	-0.182692	1.08421	0	0	0.042822	na	20	1	0.133225	36	10.7	0	10.1473	10.7	9.61579	0.0844155	0.183925	0.05	na	19	12	10.1579	0.0036694	0.05	na	na	na	na	na	na	9.42011	9.61882	10.5556	10.6176	0.589674	0.541617	2.58803	0.26512	0.418094	0.0177285	0.0525414	-0.00971939	
-0.631109	-16.3449	-0.335037	-0.451176	-0.50997	-0.593734	0.915789	0	0	0.0456914	na	20	1	0.102484	28	6.61579	0	7.89235	6.61579	5.7	-0.250682	0.195296	0.05	na	10	10	6.15789	-0.743829	0.05	na	na	na	na	na	na	7.06509	7.21412	6.23977	6.27647	-0.563192	-0.667643	2.16141	0.337596	-0.0616613	0.0336288	0.0499472	-0.00425583	
0.822195	-10.9476	0.547163	0.671657	0.572519	0.70842	2.56842	0	0	0.0373984	na	20	1	0.160804	35	11.9158	0	9.86544	11.9158	9.34737	0.322107	0.447126	0.05	na	21	7	10.6316	0.272007	0.05	na	na	na	na	na	na	10.9901	11.222	12.462	12.5353	0.659395	0.614524	2.5351	0.323932	0.375968	0.0182825	0.0491328	-0.0117343	
-0.0575186	-12.4035	-0.0501945	-0.0559244	0.028719	0	-0.210526	0	0	0.0475056	na	20	1	0.125	36	10	0	10.1473	10	10.2105	-0.0224987	-0.0357136	0.05	na	18	10	10.1053	-0.0145695	0.05	na	na	na	na	na	na	10.2051	10.0196	10	9.94706	-0.0986722	-0.037836	2.94212	0.19023	-0.315382	0.0103047	0.0542305	-0.00672489	
0.0189371	-12.0023	0.150249	0.118615	0.0816948	0.0656771	0.852632	0	0	0.0485482	na	20	1	0.129653	37	10.4789	0	10.4292	10.4789	9.62632	0.00739641	0.141038	0.05	na	20	10	10.0526	-0.12744	0.05	na	na	na	na	na	na	10.5976	10.8212	10.5322	10.5941	-0.0303715	-0.110013	2.41185	0.346242	-0.226404	0.0158449	0.0522237	-0.00367545	
-0.519006	-15.6354	0.115943	-0.0773573	0.0409178	-0.154925	1.02105	0	0	0.0300505	na	20	1	0.110288	29	7.08947	0	8.17422	7.08947	6.06842	-0.205669	0.210957	0.05	na	13	8	6.57895	-0.66435	0.05	na	na	na	na	na	na	8.2426	8.41647	6.9883	7.02941	-0.739766	-0.853926	2.13992	0.190199	0.367395	0.0344044	0.050607	-0.0205565	
0.833179	-9.23588	0.792285	0.859365	0.882547	0.936278	1.02105	0	0	0.0332564	na	20	1	0.162682	44	14.9842	0	12.4023	14.9842	13.9632	0.322652	0.143841	0.05	na	28	7	14.4737	0.602734	0.05	na	na	na	na	na	na	14.5227	14.829	15.8713	15.9647	0.461599	0.406156	2.68146	0.131842	-0.393085	0.0101385	0.0488258	-0.0155694	
